SITE_ID,CUST_ID,ORDER_ID,ORDER_LINE_NO,ORDER_DEL_NO,DEMAND_KEY,DEMAND_TYPE,SUPPLY_KEY,SUPPLY_TYPE,BASE_ID,LOT_ID,SPLIT_ID,PART_ID,WANT_DATE,FINISH_DATE,ORDER_QTY,SHIPPED_QTY,DESIRED_QTY,RECEIVED_QTY,ALLOCATED_QTY
MTM2,CID-00015-04,CO-087004,71,1,CD~CO-087004~*~*~71~1,CD,NULL," "," "," "," ",A17-21790-002,2029-05-22 00:00:00.000,2026-05-29 00:00:00.000,209.00000000,0.00000000,0.00000000,0.00000000,209.00000000
MTM2,CID-00660-03,CO-100001,1,58,CD~CO-100001~*~*~1~58,CD,NULL," "," "," "," ",64503,2028-05-08 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00660-03,CO-100001,1,57,CD~CO-100001~*~*~1~57,CD,NULL," "," "," "," ",64503,2028-05-01 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00660-03,CO-100001,2,20,CD~CO-100001~*~*~2~20,CD,NULL," "," "," "," ",64508,2028-04-24 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00660-03,CO-100001,4,74,CD~CO-100001~*~*~4~74,CD,NULL," "," "," "," ",1224196,2028-04-17 00:00:00.000,2026-05-29 00:00:00.000,240.00000000,0.00000000,0.00000000,0.00000000,240.00000000
MTM2,CID-00660-03,CO-100001,1,56,CD~CO-100001~*~*~1~56,CD,NULL," "," "," "," ",64503,2028-04-10 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00660-03,CO-100001,1,55,CD~CO-100001~*~*~1~55,CD,NULL," "," "," "," ",64503,2028-04-03 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00660-03,CO-100001,2,19,CD~CO-100001~*~*~2~19,CD,NULL," "," "," "," ",64508,2028-03-20 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00660-03,CO-100001,1,54,CD~CO-100001~*~*~1~54,CD,NULL," "," "," "," ",64503,2028-03-13 00:00:00.000,2026-05-29 00:00:00.000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000
MTM2,CID-00331-01,CO-100013-21,2,84,CD~CO-100013-21~*~*~2~84,CD,NULL," "," "," "," ","11057-7822      ",2028-03-09 00:00:00.000,2026-05-29 00:00:00.000,1528.00000000,0.00000000,0.00000000,0.00000000,1528.00000000
MTM2,CID-00331-01,CO-100013-21,4,61,CD~CO-100013-21~*~*~4~61,CD,NULL," "," "," "," ","11058-4138      ",2028-03-09 00:00:00.000,2026-05-29 00:00:00.000,366.00000000,0.00000000,0.00000000,0.00000000,366.00000000
MTM2,CID-00331-01,CO-100013-21,5,74,CD~CO-100013-21~*~*~5~74,CD,NULL," "," "," "," ","11058-7355      ",2028-03-09 00:00:00.000,2026-05-29 00:00:00.000,146.00000000,0.00000000,0.00000000,0.00000000,146.00000000
MTM2,CID-00331-01,CO-100013-21,6,57,CD~CO-100013-21~*~*~6~57,CD,NULL," "," "," "," ","11058-7782      ",2028-03-09 00:00:00.000,2026-05-29 00:00:00.000,338.00000000,0.00000000,0.00000000,0.00000000,338.00000000
MTM2,CID-00331-01,CO-100013-21,8,27,CD~CO-100013-21~*~*~8~27,CD,NULL," "," "," "," ","13272-3994      ",2028-03-09 00:00:00.000,2026-05-29 00:00:00.000,1146.00000000,0.00000000,0.00000000,0.00000000,1146.00000000
