RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
010-02,Saw - Horizontal Peerless,W,NULL,NULL,N,8,8,8,NULL,NULL
010-03,Saw - Band Saw - Crob,W,NULL,NULL,N,2,2,2,2023-09-28 00:00:00.000,2023-11-02 00:00:00.000
010-GRP,Saw Group - Horizontals,G,NULL,NULL,Y,24,24,24,2008-04-10 00:00:00.000,2010-11-18 06:20:00.000
020-01,Waterjet - Flow M3 4020B,W,NULL,NULL,Y,9763,8190,8256,2011-05-17 16:00:00.000,2028-08-18 02:00:00.000
030-01,Tapping Head,W,NULL,NULL,Y,1,1,1,NULL,NULL
030-GRP,Tapping Head Group,G,NULL,NULL,Y,189,177,189,2007-10-26 14:30:00.000,2025-10-30 00:10:00.000
050-01,Shop Group,I,NULL,NULL,Y,250,236,250,2008-01-31 13:00:00.000,2026-06-17 09:00:00.000
050-02,Unattended Machining,W,NULL,NULL,N,8804,6976,6976,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
050-GRP,Shop Group,G,NULL,NULL,Y,14123,11658,12198,2007-10-24 00:00:00.000,2036-10-02 16:00:00.000
060-01,Laser - 3015 Mazak Nexus Fiber 4,000 W,W,NULL,NULL,Y,1625,1598,1602,2019-10-04 07:10:00.000,2026-07-20 12:40:00.000
060-02,Laser - Bystronic 12K,W,NULL,NULL,Y,1822,1810,1813,2023-09-07 00:00:00.000,2026-06-26 21:30:00.000
060-03,Laser - Bystronic 12K,W,NULL,NULL,Y,426,425,425,2023-06-30 14:50:00.000,2026-07-03 21:10:00.000
090-01,Spot Weld ,W,NULL,NULL,Y,588,436,586,2019-09-12 15:00:00.000,2026-08-12 19:20:00.000
090-02,Spot Weld ,W,NULL,NULL,Y,1,1,1,NULL,NULL
090-03,Spot Weld ,W,NULL,NULL,Y,0,0,1,NULL,NULL
090-04,Spot Weld,W,NULL,NULL,Y,14,7,14,2025-05-30 00:00:00.000,2026-06-02 23:50:00.000
090-05,Spot Weld,W,NULL,NULL,Y,0,0,1,NULL,NULL
090-GRP,Spot Weld Group,G,NULL,NULL,Y,1831,1749,1827,2007-10-31 00:00:00.000,2026-07-08 23:40:00.000
092-01,Stud Weld Steel,W,NULL,NULL,Y,315,315,315,2019-10-01 17:20:00.000,2032-07-16 03:30:00.000
092-02,Stud Weld Alum,W,NULL,NULL,Y,28,28,28,NULL,NULL
095-01,Welding - Portable Lincoln Arc Welder,W,NULL,NULL,Y,176,176,176,2011-10-26 07:40:00.000,2026-06-04 23:40:00.000
095-02,Welding - Lincoln Square Wave,W,NULL,NULL,N,14,14,14,2023-09-07 00:10:00.000,2026-03-01 23:40:00.000
095-03,Welding - Miller CP300,W,NULL,NULL,Y,0,0,1,NULL,NULL
095-06,Welding - Preston Easting Positioner,W,NULL,NULL,N,0,0,1,NULL,NULL
095-07,Welding - Lincoln Ideal Arc DC600,W,NULL,NULL,Y,0,0,1,NULL,NULL
095-08,Welding - Lincoln LN7 Feeder,W,NULL,NULL,N,4,4,4,2026-04-24 00:30:00.000,2026-06-04 09:00:00.000
095-09,Welding - Lincoln LN7 Feeder,W,NULL,NULL,N,0,0,1,NULL,NULL
095-10,Welding - Lincoln LN7 Feeder,W,NULL,NULL,N,0,0,1,NULL,NULL
095-11,Miller Feeder Model #XRW Serial #KC21255,W,NULL,NULL,Y,0,0,1,NULL,NULL
095-12,Lincoln Precision Tig, Model 375,W,NULL,NULL,N,56,56,56,2019-09-12 13:10:00.000,2026-06-05 14:50:00.000
095-13,Wire Welder (Manual),W,NULL,NULL,Y,81,81,81,2019-10-04 07:10:00.000,2026-03-31 23:40:00.000
095-17,Lincoln Power Mig 210 Wire Welder,W,NULL,NULL,Y,0,0,1,NULL,NULL
095-GRP,Manual Welding,G,NULL,NULL,Y,457,455,455,2008-11-10 00:00:00.000,2026-05-01 02:10:00.000
096-01,Lincoln E Cell Robotic Welder,W,NULL,NULL,Y,372,367,367,2012-05-18 09:00:00.000,2026-06-04 23:40:00.000
096-01-GRP,Lincoln E Cell Robotic Welder,G,NULL,NULL,Y,835,823,826,2007-10-24 00:00:00.000,2026-06-08 23:40:00.000
096-02,Lincoln Robotic Welder XHS-CM,W,NULL,NULL,Y,461,460,461,2020-09-08 06:40:00.000,2026-06-17 03:10:00.000
096-03,Lincoln Robotic Welder XHS-CM,W,NULL,NULL,Y,211,211,211,2021-05-07 22:30:00.000,2029-10-05 12:00:00.000
099-03,Press (Enerpac),W,NULL,NULL,N,4,3,3,2020-07-02 23:20:00.000,2025-10-10 00:00:00.000
099-04,Press (Enerpac),W,NULL,NULL,Y,0,0,1,NULL,NULL
099-05,DO NOT USE,W,NULL,NULL,Y,17,17,17,2023-06-02 00:00:00.000,2025-10-30 00:10:00.000
100-01,Press Room 400 Ton Williams & White,W,NULL,NULL,Y,2107,1842,2105,2008-07-01 13:50:00.000,2023-03-10 15:10:00.000
100-01-GRP,Press Room 400 Ton,G,NULL,NULL,Y,154,139,154,2007-10-24 14:30:00.000,2020-04-09 15:20:00.000
100-02,Press Room 200 Ton Bliss,W,NULL,NULL,Y,298,298,298,2008-03-06 00:00:00.000,2010-10-25 16:20:00.000
100-02-GRP,Press Room 200 Ton,G,NULL,NULL,Y,1432,1334,1428,2007-10-30 22:50:00.000,2011-10-25 07:30:00.000
100-03,Press Room 220 Ton Aida,W,NULL,NULL,Y,3894,3886,3894,2008-03-20 08:30:00.000,2026-06-21 23:50:00.000
100-03-GRP,Press Room 220 Ton,G,NULL,NULL,Y,61,61,61,2007-11-20 00:20:00.000,2010-10-28 13:50:00.000
100-04,Press Room 60 Ton,W,NULL,NULL,Y,14,14,14,2008-09-09 14:10:00.000,2010-01-14 10:10:00.000
100-04-GRP,Press Room 60 Ton,G,NULL,NULL,Y,94,94,94,2007-11-07 08:40:00.000,2011-05-20 08:10:00.000
100-06,Press Room 500 Ton Heim,W,NULL,NULL,Y,5004,4910,5004,2008-03-10 07:00:00.000,2026-06-02 21:20:00.000
100-06-1/2BUR,Press Room 500 Ton Heim,W,NULL,NULL,Y,0,0,1,NULL,NULL
100-06-GRP,Press Room 500 Ton,G,NULL,NULL,Y,532,500,532,2007-10-25 13:30:00.000,2011-11-17 16:00:00.000
100-07,Brake Press,W,NULL,NULL,Y,3603,3441,3592,2012-05-18 12:20:00.000,2035-06-18 09:20:00.000
100-07-GRP,Brake Press,G,NULL,NULL,Y,383,383,383,2007-10-24 11:10:00.000,2012-06-04 13:50:00.000
100-08,Press Room 800 Ton,W,NULL,NULL,Y,1989,1559,1989,2009-02-05 07:00:00.000,2026-05-29 01:30:00.000
100-08-1/2BUR,Press Room 800 Ton - 1/2 Burden,W,NULL,NULL,Y,36,36,36,NULL,NULL
100-09,Press Room 800 Ton,W,NULL,NULL,Y,350,339,350,2019-10-04 07:10:00.000,2031-04-04 04:00:00.000
100-09-Cell,Press Room 800 Ton & Studweld,W,NULL,NULL,Y,150,150,150,NULL,NULL
100-10,Press Room 200 Ton Clearing,W,NULL,NULL,Y,131,131,131,2019-09-12 13:10:00.000,2021-12-30 23:50:00.000
100-10-1/2BUR,Press Room 200 Ton Clearing - 1/2 Burden,W,NULL,NULL,Y,0,0,1,NULL,NULL
100-11,Press Room 500 Ton Heim,W,NULL,NULL,Y,1209,1189,1209,2019-09-12 13:10:00.000,2022-10-26 23:50:00.000
100-11-1/2BUR,Press Room 500 Ton Heim,W,NULL,NULL,Y,3,3,3,NULL,NULL
100-12,Press Room 440 Ton Seyi,W,NULL,NULL,Y,5288,5280,5287,2019-09-13 00:20:00.000,2026-06-14 23:40:00.000
100-12-1/2BUR,Press Room 440 Ton Seyi,W,NULL,NULL,Y,7,7,7,NULL,NULL
