TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE
dbo,CO_PRODUCT,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,CUST_BOOK_DEL,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,CUST_LINE_DEL,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,CUST_ORDER_ALLOC,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,CUST_ORDER_LINE,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,DEMAND_SUPPLY_LINK,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,OPERATION,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,PURC_LINE_DEL,ALLOCATED_QTY,decimal,NULL,20,8,YES
dbo,PURC_ORDER_LINE,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,PURC_REQ_LINE,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,REQUIREMENT,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,WORK_ORDER,ALLOCATED_QTY,decimal,NULL,20,8,NO
dbo,CUST_ORDER_ALLOC,BASE_ID,nvarchar,30,NULL,NULL,NO
dbo,E_FACTLOAD_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_JOBCOMP_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_JOBSTARTS_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_LATEJOB_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_OPENJOB_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_OPENOPS_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_OPSCOMPL_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_OPSSTARTS_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_OPSSVLV_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_SCHEDSVLV_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,E_WANTSVLV_DET,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,EVENT_TRIGGER,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,TEST_RESULT,BASE_ID,nvarchar,30,NULL,NULL,YES
dbo,WORK_ORDER,BASE_ID,nvarchar,30,NULL,NULL,NO
dbo,ACCOUNT_CHG_LOG,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,ACCT_BAL_DIM_BATCH,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,ADJ_REASON_SYNC,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,ADJUSTMENT_DIST,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,AIC_SYNC,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,ALLOCATION,CREATE_DATE,datetime,NULL,NULL,NULL,YES
dbo,AMTS_PENDING_TRANS,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,APS_LAYOUT,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,BANK_ADJ_DIST,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,BANK_ADJUSTMENT,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,BOL,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,BUFFER,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,BURDEN_DIST,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,CARRIER_SYNC,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,CARTON,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,CASH_DISBURSE_DIST,CREATE_DATE,datetime,NULL,NULL,NULL,NO
dbo,CASH_DISBURSEMENT,CREATE_DATE,datetime,NULL,NULL,NULL,NO
