ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-044271,889,10,23-12631-791,903.00000000,3.00000000,0.00000000,2035-05-28 00:00:00.000,MTM2,79200.00000000
WO-048093,99,10,FH-173-8,632.00000000,2.00000000,0.00000000,2031-04-04 02:10:00.000,MTM2,41700.00000000
WO-048946,99,10,FH-173-8,320.00000000,2.00000000,0.00000000,2027-04-20 09:50:00.000,MTM2,41700.00000000
WO-049296,10,10,10000020586,891.00000000,1.00000000,0.00000000,2032-07-13 07:00:00.000,MTM2,0.00000000
WO-049296,99,20,CDFMS081-111,7128.00000000,8.00000000,0.00000000,2032-07-15 09:50:00.000,MTM2,49585.00000000
WO-064622,10,10,MMC0000982,7221.50000000,6.50000000,0.00000000,2026-03-31 13:10:00.000,MTM2,0.00000000
WO-065727,10,10,MMC0000030,42.18000000,2.63600000,0.00000000,2026-05-21 07:10:00.000,MTM2,27580.00000000
WO-066025,80,10,60115881,125.00000000,5.00000000,0.00000000,2026-05-07 23:50:00.000,MTM2,449.00000000
WO-066025,90,10,963094,75.00000000,3.00000000,0.00000000,2026-05-08 00:30:00.000,MTM2,8296.00000000
WO-066184,29,10,78700517,0.00000000,6.00000000,0.00000000,2026-04-23 22:10:00.000,MTM2,13846.00000000
WO-066533,10,10,MMF0005525,267.24000000,5.24000000,0.00000000,2026-05-29 00:00:00.000,MTM2,10695.00000000
WO-066533,90,10,963094,51.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,8296.00000000
WO-066533,96,10,78691756,51.00000000,1.00000000,0.00000000,2026-05-29 00:20:00.000,MTM2,100.00000000
WO-066533,930,20,4QM281M,51.00000000,1.00000000,0.00000000,2026-05-08 07:00:00.000,MTM2,270.00000000
WO-067171,900,10,78781009,145.00000000,1.00000000,0.00000000,2026-03-27 07:00:00.000,MTM2,255.00000000
WO-067526,10,10,MMF0005525,188.64000000,5.24000000,0.00000000,2026-04-24 00:10:00.000,MTM2,10695.00000000
WO-067526,90,10,963094,36.00000000,1.00000000,0.00000000,2026-04-24 00:20:00.000,MTM2,8296.00000000
WO-067526,96,10,78691756,36.00000000,1.00000000,0.00000000,2026-04-24 00:30:00.000,MTM2,100.00000000
WO-067526,930,20,4QM281M,36.00000000,1.00000000,0.00000000,2026-04-24 07:00:00.000,MTM2,270.00000000
WO-067705,99,10,GM85053-2,20.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,20.00000000
WO-067843,309,10,MPB0000013,10.00000000,0.00200000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-067941,10,20,Tooling Not Ready,3.00000000,1.00000000,0.00000000,2026-03-19 00:20:00.000,MTM2,0.00000000
WO-067942,10,10,MMF0005808,66.96000000,22.32000000,0.00000000,2026-03-27 00:20:00.000,MTM2,1665.00000000
WO-067942,10,20,Tooling Not Ready,3.00000000,1.00000000,0.00000000,2026-03-27 00:20:00.000,MTM2,0.00000000
WO-067943,10,20,Tooling Not Ready,3.00000000,1.00000000,0.00000000,2026-03-19 01:00:00.000,MTM2,0.00000000
WO-068077,15,10,961616,20.00000000,4.00000000,0.00000000,2026-05-01 00:00:00.000,MTM2,76.00000000
WO-068077,90,10,24755869,5.00000000,1.00000000,0.00000000,2026-03-27 01:30:00.000,MTM2,0.00000000
WO-068132,10,10,MMC0000697,35770.35000000,17.93000000,0.00000000,2026-05-15 00:00:00.000,MTM2,27240.00000000
WO-068212,10,10,MMC0000251,53441.28000000,1.28000000,0.00000000,2026-05-15 13:00:00.000,MTM2,8520.00000000
