ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-042133,10,10,MMF0002006,157.94000000,0.53000000,0.00000000,2028-08-17 00:00:00.000,MTM2,239.00000000
WO-042200,10,10,MMF0000045,82.80000000,6.90000000,0.00000000,2028-08-17 00:00:00.000,MTM2,1166.00000000
WO-042279,19,10,MMF0000392,85.20000000,3.55000000,0.00000000,2026-06-05 00:00:00.000,MTM2,0.00000000
WO-042301,10,10,MMF0002006,162.00000000,0.54000000,0.00000000,2028-08-17 00:00:00.000,MTM2,239.00000000
WO-042328,29,10,MMF0000394,153.00000000,7.65000000,0.00000000,2028-08-15 00:00:00.000,MTM2,80.00000000
WO-044754,19,10,22-77723-200-Blank,22.00000000,1.00000000,0.00000000,2035-06-08 00:00:00.000,MTM2,0.00000000
WO-044755,19,10,22-77723-240-Blank,27.00000000,1.00000000,0.00000000,2035-06-15 00:00:00.000,MTM2,0.00000000
WO-049365,19,10,22-44994-013-Blank,145.00000000,1.00000000,0.00000000,2032-07-16 11:00:00.000,MTM2,4.00000000
WO-054129,10,10,MMF0000844,1.00000000,0.00850000,0.00000000,2026-07-20 12:00:00.000,MTM2,0.00000000
WO-068673,920,10,2487437-PKG,42.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,44.00000000
WO-068675,920,10,2487860-PKG,50.00000000,1.00000000,0.00000000,2026-05-29 00:40:00.000,MTM2,21.00000000
WO-068805,19,10,MMC0000033,4560.00000000,0.57000000,0.00000000,2026-05-28 15:50:00.000,MTM2,1445.00000000
WO-069131,10,10,MMC0000744,189824.00000000,14.83000000,0.00000000,2026-05-29 00:00:00.000,MTM2,148232.04000000
WO-069132,10,10,MMC0000745,93975.00000000,26.85000000,0.00000000,2026-05-29 01:50:00.000,MTM2,69662.95000000
WO-069149,10,40,24436346,10.00000000,1.00000000,0.00000000,2026-05-29 07:00:00.000,MTM2,15.00000000
WO-069149,10,50,24409486,10.00000000,1.00000000,0.00000000,2026-05-29 07:00:00.000,MTM2,10.00000000
WO-069149,10,60,24436279,10.00000000,1.00000000,0.00000000,2026-05-29 07:00:00.000,MTM2,10.00000000
WO-069149,10,70,995054,40.00000000,4.00000000,0.00000000,2026-05-29 07:00:00.000,MTM2,914.00000000
WO-069149,10,80,990941,40.00000000,4.00000000,0.00000000,2026-05-29 07:00:00.000,MTM2,1857.00000000
WO-069245,10,20,CDFAL081-820,880.00000000,8.00000000,0.00000000,2026-06-02 19:10:00.000,MTM2,2036628.00000000
WO-069245,10,30,FH-173-8,200.00000000,2.00000000,0.00000000,2026-06-02 19:10:00.000,MTM2,41700.00000000
WO-069263,10,10,MMC0000745,161100.00000000,26.85000000,0.00000000,2026-05-29 15:50:00.000,MTM2,69662.95000000
WO-069379,96,10,2481542,1.00000000,1.00000000,0.00000000,2026-06-02 04:40:00.000,MTM2,722.00000000
WO-069379,96,20,2481297,1.00000000,1.00000000,0.00000000,2026-06-02 04:40:00.000,MTM2,668.00000000
WO-069535,10,10,MMCSR00006,504.00000000,3.36000000,0.00000000,2026-06-04 05:40:00.000,MTM2,3580.00000000
WO-069535,10,30,Tooling Not Ready,150.00000000,1.00000000,0.00000000,2026-06-04 05:40:00.000,MTM2,0.00000000
WO-069580,19,10,MMC0000033,5700.00000000,0.57000000,0.00000000,2026-05-28 10:00:00.000,MTM2,1445.00000000
WO-069652,99,10,11058-1951,750.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,3041.00000000
WO-069652,99,20,11058-1952,750.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,2570.00000000
WO-069652,99,30,11058-1953,750.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,2695.00000000
WO-069652,99,40,13061-0692,1500.00000000,2.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,2310.00000000
WO-069722,19,10,GM102848-1,5000.00000000,1.00000000,0.00000000,2026-05-29 01:30:00.000,MTM2,926.00000000
WO-069722,19,20,GM102848-2,10000.00000000,2.00000000,0.00000000,2026-05-29 01:30:00.000,MTM2,5531.00000000
WO-069722,19,30,GM107144-05,20000.00000000,4.00000000,0.00000000,2026-05-29 01:30:00.000,MTM2,103040.00000000
WO-069736,359,10,32 126 18,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,33602.00000000
WO-069736,359,20,24 090 47,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,42781.00000000
WO-069736,359,30,24 090 13-A,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,7398.00000000
WO-069736,359,40,24 090 05,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,22526.00000000
WO-069736,359,50,25086398,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,40806.00000000
WO-069736,359,60,M-547050,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,35638.00000000
WO-069736,359,70,2446820,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,35864.00000000
WO-069736,359,80,2411227,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,14759.00000000
WO-069736,359,100,25086399,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,34771.00000000
WO-069736,359,120,2446801,75000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,36235.00000000
WO-069814,10,10,MMC0000409,52200.00000000,0.45000000,0.00000000,2026-06-04 23:30:00.000,MTM2,58155.00000000
WO-069826,19,10,MMC0000440,21974.40000000,0.56000000,0.00000000,2026-05-29 00:00:00.000,MTM2,15106.76000000
WO-069826,19,20,CH420-10DPGM,117720.00000000,3.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,284909.00000000
WO-069826,19,30,C420-1-GM,39240.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,113907.00000000
WO-069881,19,10,MMC0000770,69850.00000000,13.97000000,0.00000000,2026-05-29 00:00:00.000,MTM2,25580.00000000
WO-069945,10,10,22-77723-140-Raw,520.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,0.00000000
WO-070114,19,10,MMC0000295,5389.58000000,9.59000000,0.00000000,2026-06-02 12:00:00.000,MTM2,-114.66000000
WO-070208,96,10,KK105578,169.00000000,1.00000000,0.00000000,2026-05-29 20:20:00.000,MTM2,374.00000000
WO-070208,96,20,KK106063,169.00000000,1.00000000,0.00000000,2026-05-29 20:20:00.000,MTM2,524.00000000
WO-070208,96,25,KK125249,169.00000000,1.00000000,0.00000000,2026-05-29 20:20:00.000,MTM2,504.00000000
WO-070208,96,30,KK106521,169.00000000,1.00000000,0.00000000,2026-05-29 20:20:00.000,MTM2,5459.00000000
WO-070208,96,40,LVU28697,169.00000000,1.00000000,0.00000000,2026-05-29 20:20:00.000,MTM2,1055.00000000
