TABLE_NAME,CONSTRAINT_NAME
ACCOUNT,CHK9061
ACCOUNT_PERIOD,CHK0061
ACCOUNTING_ENTITY,CHK_ACCOUNTING_ENTITY
ADJUSTMENT_DIST,CHK9049
ALLOCATION,CHK0064
APPLICATION,CHK_APPLICATION
APPLICATION_GLOBAL,CHK_APPLICATION_GLOBAL
BANK_DEPOSIT,CHK0094
BOL,CHK9102
BOL_LINE,CHK9103
BURDEN_DIST,CHK_BURDEN_DIST
CALENDAR_CHANGE,CHK0020
CALENDAR_WEEK,CHK0021
CASH_DISBURSE_DIST,CHK9071
CASH_DISBURSEMENT,CHK0071
CASH_PLAN_AMOUNT,CHK0096
CASH_PLAN_LINE,CHK0097
CASH_RECEIPT,CHK9078
CASH_RECEIPT_DIST,CHK9079
CO_PRODUCT,CHK9022
CONTACT,CHK_CONTACT_GEND
CONTACT,CHK_CONTACT_MARITAL
CONTACT,CHK_CONTACT_PREF
CUST_ADDRESS,CHK0010
CUST_LINE_BILLING,CHK9100
CUST_LINE_BINARY,CHK0041
CUST_ORDER_BINARY,CHK0039
CUST_ORDER_LINE,CHK9039
CUSTOMER,CHK_CUSTOMER
CUSTOMER_BINARY,CHK0009
CUSTOMER_ORDER,CHK_CUSTOMER_ORDER
ECN,CHK0032
ECN_BINARY,CHK0033
ECN_DETAIL,CHK_ECN_DETAIL
ECN_OPER_BINARY,CHK_ECN_OPER_BINARY
ECN_REQ_BINARY,CHK_ECN_REQ_BINARY
ECN_WO_BINARY,CHK_ECN_WO_BINARY
EMPLOYEE,CHK0013
FINANCIAL_CALENDAR,CHK_FIN_CALENDAR
GAGE,CHK0088
IBT_LINE,CHK_IBT_LINE
INDIRECT,CHK0002
INDIRECT_DIST,CHK9051
INVENTORY_BALANCE,CHK0098
INVENTORY_TRANS,CHK9048
JOURNAL_BATCH,CHK_JOURNAL_BATCH
LABOR_TICKET,CHK9050
LOCATION,CHK0017
NMFC_CODE,CHK9101
OPER_TYPE_BINARY,CHK0007
OPER_TYPE_RESOURCE,CHK0006
OPERATION,CHK0099
OPERATION_BINARY,CHK0029
OPERATION_RESOURCE,CHK0028
OPERATION_TYPE,CHK0005
PART,CHK_PART
PART_BINARY,CHK0100
PART_LOCATION,CHK9017
PAYABLE,CHK_PAYABLE
PAYABLE_DIST,CHK9069
PAYABLE_LINE,CHK9068
PHYS_COUNT_TAG,CHK0054
PHYSICAL_COUNT,CHK0053
PROJECT_DIST,CHK_PROJECT_DIST
PURC_LINE_BINARY,CHK0046
PURC_ORDER_BINARY,CHK0044
PURC_ORDER_LINE,CHK9044
PURC_REQ_BINARY,CHK_PURC_REQ_BINARY
PURC_REQ_LN_BINARY,CHK_PURC_REQ_LN_BINARY
PURC_REQUISITION,CK_PURC_REQUISITION
PURCHASE_DIST,CHK9046
PURCHASE_ORDER,CHK_PURCHASE_ORDER
QUOTE,CHK_QUOTE
QUOTE_BINARY,CHK0056
QUOTE_LINE_BINARY,CHK0057
QUOTE_PRICE,CHK0058
RCR_PAYABLE,CHK_RCR_PAYABLE
RCR_PAYABLE_LINE,CHK0074
RCR_RECEIVABLE,CHK_RCR_RECEIVABLE
RECEIVABLE,CHK_RECEIVABLE
RECEIVABLE_BINARY,CHK0076
RECEIVABLE_DIST,CHK9076
RECEIVER,CHK0048
RECV_LINE_BINARY,CHK0078
REPORT,CHK0066
REPORT_LINE,CHK0067
REQUEST_FOR_QUOTE,CHK0090
REQUIREMENT,CHK0102
REQUIREMENT_BINARY,CHK0031
RFQ_BINARY,CHK0091
RFQ_LINE_BINARY,CHK0093
RFQ_VENDOR_QUOTE,CHK0103
RMA,CHK9075
RMA_LINE,CHK_RMA_LINE
SALES_REP,CHK0003
SCHEDULE,CHK0059
SERVICE_BINARY,CHK0016
SERVICE_DISPATCH,CHK9106
SHIFT_DAY,CHK0004
SHIPMENT_DIST,CHK9041
SHOP_RESOURCE,CHK0019
TEST,CHK0083
TEST_BINARY,CHK0085
TEST_RESULT,CHK0087
TEST_STEP,CHK0084
TEST_STEP_BINARY,CHK0086
TRACE_NUMBERING,CHK_TRACE_NUMBERING
TRACE_PROFILE,CHK0082
UNITS,CHK0001
VAT_CATEGORY,CHK_VAT_CATEGORY
VENDOR,CHK_VENDOR
VENDOR_BINARY,CHK0012
WIP_BALANCE,CHK0104
WIP_ISSUE_DIST,CHK9024
WIP_RECEIPT_DIST,CHK9025
WORK_ORDER,CHK0105
WORKORDER_BINARY,CHK0024
