TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,IS_IDENTITY,IS_COMPUTED
ACCOUNT,1,ROWID,int,4,10,0,NO,YES,NO
ACCOUNT,2,ID,nvarchar,60,0,0,NO,NO,NO
ACCOUNT,3,DESCRIPTION,nvarchar,240,0,0,YES,NO,NO
ACCOUNT,4,TYPE,nchar,2,0,0,NO,NO,NO
ACCOUNT,5,SUMMARY_ACCOUNT,nchar,2,0,0,NO,NO,NO
ACCOUNT,6,PARENT_ACCT_ID,nvarchar,60,0,0,YES,NO,NO
ACCOUNT,7,CURRENCY_ID,nvarchar,30,0,0,YES,NO,NO
ACCOUNT,8,REVALUE,nchar,2,0,0,NO,NO,NO
ACCOUNT,9,PROJECT_ACCOUNT,nchar,2,0,0,YES,NO,NO
ACCOUNT,10,ACTIVE_FLAG,nchar,2,0,0,YES,NO,NO
ACCOUNT,11,STATUS_EFF_DATE,datetime,8,23,3,NO,NO,NO
ACCOUNT_AT_NATIVE,1,ROWID,int,4,10,0,NO,YES,NO
ACCOUNT_AT_NATIVE,2,ACCOUNT_ID,nvarchar,60,0,0,NO,NO,NO
ACCOUNT_AT_NATIVE,3,SITE_ID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_AT_NATIVE,4,ACCT_YEAR,decimal,5,4,0,NO,NO,NO
ACCOUNT_AT_NATIVE,5,ACCT_PERIOD,decimal,5,2,0,NO,NO,NO
ACCOUNT_AT_NATIVE,6,DEBIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_AT_NATIVE,7,CREDIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_AT_NATIVE,8,CURRENCY_ID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,1,ROWID,int,4,10,0,NO,YES,NO
ACCOUNT_BAL_DIM,2,ACCOUNT_ID,nvarchar,60,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,3,SITE_ID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,4,ACCT_YEAR,decimal,5,4,0,NO,NO,NO
ACCOUNT_BAL_DIM,5,ACCT_PERIOD,decimal,5,2,0,NO,NO,NO
ACCOUNT_BAL_DIM,6,CURRENCY_ID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,7,USER_DIMENSION_1,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,8,USER_DIMENSION_2,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,9,CUST_ORDER_ID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,10,PRODUCT_CODE,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_DIM,11,DEBIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_DIM,12,CREDIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_DIM,13,FLAG,int,4,10,0,NO,NO,NO
ACCOUNT_BAL_DIM,14,CURR_BALANCE,decimal,13,23,8,YES,NO,NO
ACCOUNT_BAL_SUM,1,ROWID,int,4,10,0,NO,YES,NO
ACCOUNT_BAL_SUM,2,SPID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_SUM,3,ACCOUNT_ID,nvarchar,60,0,0,NO,NO,NO
ACCOUNT_BAL_SUM,4,SITE_ID,nvarchar,30,0,0,NO,NO,NO
ACCOUNT_BAL_SUM,5,ACCT_YEAR,decimal,5,4,0,NO,NO,NO
ACCOUNT_BAL_SUM,6,ACCT_PERIOD,decimal,5,2,0,NO,NO,NO
ACCOUNT_BAL_SUM,7,O_DEBIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_SUM,8,O_CREDIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_SUM,9,O_DEBIT_BUDGET,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_SUM,10,O_CREDIT_BUDGET,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_SUM,11,N_DEBIT_AMOUNT,decimal,13,23,8,NO,NO,NO
ACCOUNT_BAL_SUM,12,N_CREDIT_AMOUNT,decimal,13,23,8,NO,NO,NO
