TABLE_NAME,COLUMN_NAME,CONSTRAINT_NAME
ACCOUNT,SUMMARY_ACCOUNT,DF__ACCOUNT__SUMMARY__7E44429C
ACCOUNT,REVALUE,DF__ACCOUNT__REVALUE__7F3866D5
ACCOUNT,STATUS_EFF_DATE,DF__ACCOUNT__STATUS___002C8B0E
ACCOUNT_AT_NATIVE,DEBIT_AMOUNT,DF__ACCOUNT_A__DEBIT__0120AF47
ACCOUNT_AT_NATIVE,CREDIT_AMOUNT,DF__ACCOUNT_A__CREDI__0214D380
ACCOUNT_BAL_DIM,CURRENCY_ID,DF__ACCOUNT_B__CURRE__0308F7B9
ACCOUNT_BAL_DIM,USER_DIMENSION_1,DF__ACCOUNT_B__USER___03FD1BF2
ACCOUNT_BAL_DIM,USER_DIMENSION_2,DF__ACCOUNT_B__USER___04F1402B
ACCOUNT_BAL_DIM,CUST_ORDER_ID,DF__ACCOUNT_B__CUST___05E56464
ACCOUNT_BAL_DIM,PRODUCT_CODE,DF__ACCOUNT_B__PRODU__06D9889D
ACCOUNT_BAL_DIM,DEBIT_AMOUNT,DF__ACCOUNT_B__DEBIT__07CDACD6
ACCOUNT_BAL_DIM,CREDIT_AMOUNT,DF__ACCOUNT_B__CREDI__08C1D10F
ACCOUNT_BAL_DIM,FLAG,DF__ACCOUNT_BA__FLAG__09B5F548
ACCOUNT_BAL_SUM,O_DEBIT_AMOUNT,DF__ACCOUNT_B__O_DEB__0AAA1981
ACCOUNT_BAL_SUM,O_CREDIT_AMOUNT,DF__ACCOUNT_B__O_CRE__0B9E3DBA
ACCOUNT_BAL_SUM,O_DEBIT_BUDGET,DF__ACCOUNT_B__O_DEB__0C9261F3
ACCOUNT_BAL_SUM,O_CREDIT_BUDGET,DF__ACCOUNT_B__O_CRE__0D86862C
ACCOUNT_BAL_SUM,N_DEBIT_AMOUNT,DF__ACCOUNT_B__N_DEB__0E7AAA65
ACCOUNT_BAL_SUM,N_CREDIT_AMOUNT,DF__ACCOUNT_B__N_CRE__0F6ECE9E
ACCOUNT_BAL_SUM,N_DEBIT_BUDGET,DF__ACCOUNT_B__N_DEB__1062F2D7
