FK_Name,Table,Column,Referenced_Table,Referenced_Column
FK_ACC_ENTITY_CNTRY,ACCOUNTING_ENTITY,COUNTRY_ID,COUNTRY,ID
FK_ACCT_SITE_ACCT,ACCOUNT_SITE,ACCOUNT_ID,ACCOUNT,ID
FK_ACCT_SITE_SITE,ACCOUNT_SITE,SITE_ID,SITE,ID
FK_ACCTBALDIM_CURR,ACCOUNT_BAL_DIM,CURRENCY_ID,CURRENCY,ID
FK_ACCTBALDIM_SITE,ACCOUNT_BAL_DIM,SITE_ID,SITE,ID
FK_ACCTCHGLOG_00,ACCOUNT_CHG_LOG,ACCOUNT_ID,ACCOUNT,ID
FK_ADJDST_BATCH,ADJUSTMENT_DIST,SITE_ID,JOURNAL_BATCH,SITE_ID
FK_ADJDST_BATCH,ADJUSTMENT_DIST,BATCH_ID,JOURNAL_BATCH,ID
FK_AE_FIN_CAL,ACCOUNTING_ENTITY,CALENDAR_ID,FINANCIAL_CALENDAR,ID
FK_AMTS_PENDING_TRANS_00,AMTS_PENDING_TRANS,DEVIATION_ID,DEVIATION_REASON,ID
FK_ANAL_CFG_TO_DATA_SRC,VR_ANALYTIC_CONFIG,DATA_SOURCE_ID,VR_DATA_SOURCE,ID
FK_ANAL_PROP_TO_ANAL_CFG,VR_ANALYTIC_CONFIG_PROP,ANALYTIC_CONFIG_ID,VR_ANALYTIC_CONFIG,ID
FK_APP_CONFIG_ITEM_TO_APP,APP_CONFIG_ITEM,APP_CONFIG_ID,APP_CONFIG,ID
FK_APP_CONFIG_USER_TO_APP,APP_CONFIG_USER,DEFAULT_APP_CONFIG_ID,APP_CONFIG,ID
FK_APP_GLOBAL_DORID,APPLICATION_GLOBAL,DUE_ON_RECEIPT_ID,TERMS,ID
FK_APP_GLOBAL_TERMS,APPLICATION_GLOBAL,DEF_TERMS_ID,TERMS,ID
FK_BOL_TO_SITE,BOL,SITE_ID,SITE,ID
FK_BURD_DIST_DETAIL_00,BURD_DIST_DETAIL,BURDEN_CATEGORY_ID,COST_CATEGORY,ID
FK_BURD_DIST_DETAIL_01,BURD_DIST_DETAIL,CURRENCY_ID,CURRENCY,ID
FK_BURDEN_DIST_00,BURDEN_DIST,CURRENCY_ID,CURRENCY,ID
FK_BURDEN_DIST_01,BURDEN_DIST,SITE_ID,SITE,ID
FK_BURDEN_DIST_02,BURDEN_DIST,GL_ACCOUNT_ID,ACCOUNT,ID
FK_BURDEN_DIST_03,BURDEN_DIST,SITE_ID,JOURNAL_BATCH,SITE_ID
FK_BURDEN_DIST_03,BURDEN_DIST,BATCH_ID,JOURNAL_BATCH,ID
FK_BURDEN_RULE_00,BURDEN_RULE,BURDEN_GROUP_ID,BURDEN_GROUP,ID
FK_BURDEN_RULE_01,BURDEN_RULE,COST_CATEGORY_ID,COST_CATEGORY,ID
FK_BURDEN_RULE_02,BURDEN_RULE,DEBIT_GL_ACCOUNT,ACCOUNT,ID
FK_BURDEN_RULE_03,BURDEN_RULE,CREDIT_GL_ACCOUNT,ACCOUNT,ID
FK_BURDEN_TRANS_00,BURDEN_TRANS,BURDEN_CATEGORY_ID,COST_CATEGORY,ID
FK_BURDEN_TRANS_01,BURDEN_TRANS,DEPARTMENT_ID,DEPARTMENT,ID
FK_BURDEN_TRANS_02,BURDEN_TRANS,COST_CATEGORY_ID,COST_CATEGORY,ID
FK_CAL_CHANGE_TO_SITE,CALENDAR_CHANGE,SITE_ID,SITE,ID
FK_CAL_WEEK_TO_SITE,CALENDAR_WEEK,SITE_ID,SITE,ID
FK_CARTON_BOL,CARTON,BOL_ID,BOL,ID
FK_CDL_PAYB_VEND,CASH_DISBURSE_LINE,PAYB_VENDOR_ID,VENDOR,ID
FK_CO_LINE_TRX_CAT,CUST_ORDER_LINE,TRANS_CATEGORY_ID,TRANS_CATEGORY,ID
FK_COR_INBOX_ENTRY,COR_INBOX_HEADERS,C_INBOX_ID,COR_INBOX_ENTRY,C_ID
FK_COR_OUTBOX_ENTRY,COR_OUTBOX_HEADERS,C_OUTBOX_ID,COR_OUTBOX_ENTRY,C_ID
FK_COST_CATEGORY_00,COST_CATEGORY,COST_GROUP_ID,COST_GROUP,ID
FK_COST_SIMULATION_00,COST_SIMULATION,SIMULATION_ID,SIMULATION,ID
FK_COST_SIMULATION_01,COST_SIMULATION,PART_ID,PART,ID
FK_CP_SITE_TO_SITE,CASH_PLAN_SITE,SITE_ID,SITE,ID
FK_CRL_RECV_CUST,CASH_RECEIPT_LINE,RECV_CUSTOMER_ID,CUSTOMER,ID
FK_CSH_BKSUM_2SITE,CASH_BOOK_SUMMARY,SITE_ID,SITE,ID
FK_CSH_DSB_LINE_TO_SITE,CASH_DISBURSE_LINE,SITE_ID,SITE,ID
FK_CSH_PLN_CAL,CASH_PLAN,FIN_CAL_ID,FINANCIAL_CALENDAR,ID
FK_CSH_RCPT_LINE_TO_SITE,CASH_RECEIPT_LINE,SITE_ID,SITE,ID
FK_CURR_ENTITY_TO_AE,CURRENCY_ENTITY,ENTITY_ID,ACCOUNTING_ENTITY,ID
FK_CURR_ENTITY_TO_CURR,CURRENCY_ENTITY,CURRENCY_ID,CURRENCY,ID
