TABLE_NAME,INDEX_NAME,INDEX_TYPE,IS_UNIQUE,IS_PRIMARY_KEY,COLUMN_NAME,KEY_ORDINAL,IS_INCLUDED_COLUMN
ACCOUNT,PK_ACCOUNT,CLUSTERED,YES,YES,ID,1,NO
ACCOUNT,X_ACCOUNT_1,NONCLUSTERED,NO,NO,PARENT_ACCT_ID,1,NO
ACCOUNT_AT_NATIVE,PK_ACCT_NTV,CLUSTERED,YES,YES,ACCOUNT_ID,1,NO
ACCOUNT_AT_NATIVE,PK_ACCT_NTV,CLUSTERED,YES,YES,SITE_ID,2,NO
ACCOUNT_AT_NATIVE,PK_ACCT_NTV,CLUSTERED,YES,YES,ACCT_YEAR,3,NO
ACCOUNT_AT_NATIVE,PK_ACCT_NTV,CLUSTERED,YES,YES,ACCT_PERIOD,4,NO
ACCOUNT_AT_NATIVE,PK_ACCT_NTV,CLUSTERED,YES,YES,CURRENCY_ID,5,NO
ACCOUNT_AT_NATIVE,X_ACCT_NTV_1,NONCLUSTERED,NO,NO,ACCT_YEAR,1,NO
ACCOUNT_AT_NATIVE,X_ACCT_NTV_1,NONCLUSTERED,NO,NO,ACCT_PERIOD,2,NO
ACCOUNT_AT_NATIVE,X_ACCT_NTV_2,NONCLUSTERED,NO,NO,SITE_ID,1,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,ACCOUNT_ID,1,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,SITE_ID,2,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,ACCT_YEAR,3,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,ACCT_PERIOD,4,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,CURRENCY_ID,5,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,USER_DIMENSION_1,6,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,USER_DIMENSION_2,7,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,CUST_ORDER_ID,8,NO
ACCOUNT_BAL_DIM,PK_ACCT_BAL_DIM,CLUSTERED,YES,YES,PRODUCT_CODE,9,NO
ACCOUNT_BAL_SUM,PK_ACCTBAL_SUM,CLUSTERED,YES,YES,SPID,1,NO
ACCOUNT_BAL_SUM,PK_ACCTBAL_SUM,CLUSTERED,YES,YES,ACCOUNT_ID,2,NO
ACCOUNT_BAL_SUM,PK_ACCTBAL_SUM,CLUSTERED,YES,YES,SITE_ID,3,NO
