TABLE_NAME,ROW_COUNT
CUST_BOOK_DEL,4959231
WIP_ISSUE_DETAIL,3948744
INVENTORY_TRANS,3639248
INV_TRANS_DIST,2587810
WIP_LABOR_DETAIL,2405386
SHIPMENT_DETAIL,1873638
LABOR_TICKET,1527636
WIP_RECEIPT_DETAIL,1502356
INDIRECT_DIST,1443623
SHIPMENT_DIST,1186022
CUST_BOOK_LINE,1163929
CUST_LINE_DEL,831106
WIP_RECEIPT_DIST,799832
WIP_ISSUE_DIST,779536
INVENTORY_BALANCE,762487
INDIRECT_DETAIL,721811
DBR_EVENT_DETECT,501469
PURC_MATL_DETAIL,410727
FIN_DIST_DETAIL,409475
RECEIVABLE_DIST,356616
PAYABLE_DIST,320501
PAYABLE_LINE,311407
PAYB_LINE_CURR,311406
RECEIVABLE_LINE,301906
SHIPPER_LINE,291080
SHIPPER_LINE_DEL,272902
OPERATION,262301
OPERATION_BINARY,254106
PART_LOCATION,246694
RECEIVER_LINE,242378
REQUIREMENT,234700
CUST_ORDER_LINE,193939
PURCHASE_DIST,191718
PURC_ORDER_LINE,188669
PURC_LINE_BINARY,183044
CASH_RECEIPT_LINE,178270
RECEIVABLE,178131
RECEIVABLE_CURR,178131
SHIPPER,173188
SHIPPER_INVOICE,173188
JOURNAL,172201
RECEIVER,151444
PAYABLE,136182
PAYABLE_CURR,136182
CASH_DISBURSE_LINE,134289
WIP_SERVICE_DETAIL,125083
CASH_DISBURSE_DIST,117424
CUSTOMER_BOOKINGS,114690
DEMAND_SUPPLY_LINK,112752
WORK_ORDER,109752
CUST_ORDER_ALLOC,101094
E_BACKLOG_DET,97344
INV_RECEIPT_DIST,96415
PURC_SERV_DETAIL,93541
CUSTOMER_ORDER,90902
CUST_ORDER_CURR,90894
REQUIREMENT_BINARY,86180
PHYS_COUNT_LOC,79921
E_OPENOPS_DET,78590
E_RECEIVABLE_DET,76636
QUOTE_PRICE,71256
PRORATED_LABOR_TX,70605
PURC_ORDER_CURR,68430
PURCHASE_ORDER,68430
QUOTE_LINE,59914
E_PAYABLE_DET,59827
CASH_DISBURSEMENT,59395
CASH_DISBURSE_CURR,58655
ADJUSTMENT_DIST,57920
QUOTE_LINE_BINARY,57156
WIP_BALANCE,56984
SERVICE_RCVR_DISP,54609
BOL_LINE,54385
BOL,54384
WORKORDER_BINARY,50426
SERVICE_RECEIPT,49849
CASH_RECEIPT_DIST,49068
PLANNED_MATL_REQ,48696
GJ_LINE,46580
PLANNED_ORDER,44517
GJ_DIST,44367
E_PURCOPEN_DET,37263
JOURNAL_BATCH,37179
ACCOUNT_BALANCE,35764
SERVICE_DISP_LINE,31872
SERVICE_DISPATCHED,31872
E_PURCBACK_DET,31668
SERVICE_DISPATCH,29548
ACCOUNT_AT_NATIVE,28919
DOCUMENT_REFERENCE,26729
VR_CUSTORD_DET,26310
SOA_ID_MAP,26047
DOCUMENT,24239
DOCUMENT_SITE,24239
CASH_RECEIPT,23920
CASH_RECEIPT_CURR,23920
NOTATION,20735
USER_PGM_AUTHORITY,20297
E_PURCLATE_DET,19687
V_RIGHTS,18744
QUOTE,17819
ADJUSTMENT_DETAIL,17218
E_OPENJOB_DET,15554
BANK_DEPOSIT,15102
PROGRAM_NAME,14219
LOCATION,13044
GJ,12944
GJ_CURR,12944
USER_DEF_FIELDS,11149
E_LATE_DET,10539
E_LATEJOB_DET,8912
PART,8613
PART_SITE,8607
SIZING,8563
PART_WAREHOUSE,8504
HISTORY_SCHEMA,8346
PREFERENCES,8133
MT_WIP_LOCATIONS,6118
CUST_LINE_BILLING,5084
WO_SCH_PRIORITY,4195
