TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
dbo,ACCOUNT,ROWID,int,NO
dbo,ACCOUNT,ID,nvarchar,NO
dbo,ACCOUNT,DESCRIPTION,nvarchar,YES
dbo,ACCOUNT,TYPE,nchar,NO
dbo,ACCOUNT,SUMMARY_ACCOUNT,nchar,NO
dbo,ACCOUNT,PARENT_ACCT_ID,nvarchar,YES
dbo,ACCOUNT,CURRENCY_ID,nvarchar,YES
dbo,ACCOUNT,REVALUE,nchar,NO
dbo,ACCOUNT,PROJECT_ACCOUNT,nchar,YES
dbo,ACCOUNT,ACTIVE_FLAG,nchar,YES
dbo,ACCOUNT,STATUS_EFF_DATE,datetime,NO
dbo,ACCOUNT_AT_NATIVE,ROWID,int,NO
dbo,ACCOUNT_AT_NATIVE,ACCOUNT_ID,nvarchar,NO
dbo,ACCOUNT_AT_NATIVE,SITE_ID,nvarchar,NO
dbo,ACCOUNT_AT_NATIVE,ACCT_YEAR,decimal,NO
dbo,ACCOUNT_AT_NATIVE,ACCT_PERIOD,decimal,NO
dbo,ACCOUNT_AT_NATIVE,DEBIT_AMOUNT,decimal,NO
dbo,ACCOUNT_AT_NATIVE,CREDIT_AMOUNT,decimal,NO
dbo,ACCOUNT_AT_NATIVE,CURRENCY_ID,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,ROWID,int,NO
dbo,ACCOUNT_BAL_DIM,ACCOUNT_ID,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,SITE_ID,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,ACCT_YEAR,decimal,NO
dbo,ACCOUNT_BAL_DIM,ACCT_PERIOD,decimal,NO
dbo,ACCOUNT_BAL_DIM,CURRENCY_ID,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,USER_DIMENSION_1,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,USER_DIMENSION_2,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,CUST_ORDER_ID,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,PRODUCT_CODE,nvarchar,NO
dbo,ACCOUNT_BAL_DIM,DEBIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BAL_DIM,CREDIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BAL_DIM,FLAG,int,NO
dbo,ACCOUNT_BAL_DIM,CURR_BALANCE,decimal,YES
dbo,ACCOUNT_BAL_SUM,ROWID,int,NO
dbo,ACCOUNT_BAL_SUM,SPID,nvarchar,NO
dbo,ACCOUNT_BAL_SUM,ACCOUNT_ID,nvarchar,NO
dbo,ACCOUNT_BAL_SUM,SITE_ID,nvarchar,NO
dbo,ACCOUNT_BAL_SUM,ACCT_YEAR,decimal,NO
dbo,ACCOUNT_BAL_SUM,ACCT_PERIOD,decimal,NO
dbo,ACCOUNT_BAL_SUM,O_DEBIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BAL_SUM,O_CREDIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BAL_SUM,O_DEBIT_BUDGET,decimal,NO
dbo,ACCOUNT_BAL_SUM,O_CREDIT_BUDGET,decimal,NO
dbo,ACCOUNT_BAL_SUM,N_DEBIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BAL_SUM,N_CREDIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BAL_SUM,N_DEBIT_BUDGET,decimal,NO
dbo,ACCOUNT_BAL_SUM,N_CREDIT_BUDGET,decimal,NO
dbo,ACCOUNT_BAL_SUM,FLAG,int,NO
dbo,ACCOUNT_BAL_SUM,CURRENCY_ID,nvarchar,NO
dbo,ACCOUNT_BALANCE,ROWID,int,NO
dbo,ACCOUNT_BALANCE,ACCOUNT_ID,nvarchar,NO
dbo,ACCOUNT_BALANCE,SITE_ID,nvarchar,NO
dbo,ACCOUNT_BALANCE,ACCT_YEAR,decimal,NO
dbo,ACCOUNT_BALANCE,ACCT_PERIOD,decimal,NO
dbo,ACCOUNT_BALANCE,DEBIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BALANCE,CREDIT_AMOUNT,decimal,NO
dbo,ACCOUNT_BALANCE,DEBIT_BUDGET,decimal,NO
dbo,ACCOUNT_BALANCE,CREDIT_BUDGET,decimal,NO
dbo,ACCOUNT_BALANCE,FLAG,int,NO
