TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
ACCOUNT,DELETE_ACCOUNT,SQL_TRIGGER,NO,NO,DELETE
ACCOUNT,UPDATE_ACCOUNT,SQL_TRIGGER,NO,NO,UPDATE
ACCOUNT_BAL_DIM,DELETE_ACCOUNT_BAL_DIM,SQL_TRIGGER,NO,NO,DELETE
ACCOUNT_BAL_DIM,INSERT_ACCOUNT_BAL_DIM,SQL_TRIGGER,NO,NO,INSERT
ACCOUNT_BAL_DIM,UPDATE_ACCOUNT_BAL_DIM,SQL_TRIGGER,NO,NO,UPDATE
ACCOUNT_BALANCE,DELETE_ACCOUNT_BALANCE,SQL_TRIGGER,NO,NO,DELETE
ACCOUNT_BALANCE,INSERT_ACCOUNT_BALANCE,SQL_TRIGGER,NO,NO,INSERT
ACCOUNT_BALANCE,UPDATE_ACCOUNT_BALANCE,SQL_TRIGGER,NO,NO,UPDATE
ACCOUNT_BUDGET,DELETE_ACCOUNT_BUDGET,SQL_TRIGGER,NO,NO,DELETE
ACCOUNT_BUDGET,INSERT_ACCOUNT_BUDGET,SQL_TRIGGER,NO,NO,INSERT
ACCOUNT_BUDGET,UPDATE_ACCOUNT_BUDGET,SQL_TRIGGER,NO,NO,UPDATE
ACCOUNT_GROUP,UPDATE_ACCOUNT_GROUP,SQL_TRIGGER,NO,NO,UPDATE
ACCOUNT_PERIOD,UPDATE_ACCOUNT_PERIOD,SQL_TRIGGER,NO,NO,UPDATE
ACCOUNTING_ENTITY,INSERT_ACCOUNTING_ENTITY,SQL_TRIGGER,NO,NO,INSERT
ACCOUNTING_ENTITY,UPDATE_ACCOUNTING_ENTITY,SQL_TRIGGER,NO,NO,UPDATE
ADJUSTMENT_DIST,DELETE_ADJUSTMENT_DIST,SQL_TRIGGER,NO,NO,DELETE
ADJUSTMENT_DIST,UPDATE_ADJUSTMENT_DIST,SQL_TRIGGER,NO,NO,UPDATE
ALLOCATION,UPDATE_ALLOCATION,SQL_TRIGGER,NO,NO,UPDATE
APPLICATION_GLOBAL,INSERT_APPLICATION_GLOBAL,SQL_TRIGGER,NO,NO,INSERT
APPLICATION_GLOBAL,UPDATE_APPLICATION_GLOBAL,SQL_TRIGGER,NO,NO,UPDATE
APPLICATION_GROUP,UPDATE_APPLICATION_GROUP,SQL_TRIGGER,NO,NO,UPDATE
BANK_ACCOUNT,UPDATE_BANK_ACCOUNT,SQL_TRIGGER,NO,NO,UPDATE
BANK_ADJ_CURR,DELETE_BANK_ADJ_CURR,SQL_TRIGGER,NO,NO,DELETE
BANK_ADJ_CURR,INSERT_BANK_ADJ_CURR,SQL_TRIGGER,NO,NO,INSERT
BANK_ADJ_CURR,UPDATE_BANK_ADJ_CURR,SQL_TRIGGER,NO,NO,UPDATE
BANK_ADJ_DIST,INSERT_BANK_ADJ_DIST,SQL_TRIGGER,NO,NO,INSERT
BANK_ADJ_DIST,UPDATE_BANK_ADJ_DIST,SQL_TRIGGER,NO,NO,UPDATE
BANK_ADJUSTMENT,DELETE_BANK_ADJUSTMENT,SQL_TRIGGER,NO,NO,DELETE
BANK_ADJUSTMENT,UPDATE_BANK_ADJUSTMENT,SQL_TRIGGER,NO,NO,UPDATE
BANK_DEPOSIT,INSERT_BANK_DEPOSIT,SQL_TRIGGER,NO,NO,INSERT
BANK_DEPOSIT,UPDATE_BANK_DEPOSIT,SQL_TRIGGER,NO,NO,UPDATE
BURDEN_DIST,DELETE_BURDEN_DIST,SQL_TRIGGER,NO,NO,DELETE
BURDEN_DIST,INSERT_BURDEN_DIST,SQL_TRIGGER,NO,NO,INSERT
BURDEN_DIST,UPDATE_BURDEN_DIST,SQL_TRIGGER,NO,NO,UPDATE
CASH_DISBURSE_CURR,DELETE_CASH_DISBURSE_CURR,SQL_TRIGGER,NO,NO,DELETE
CASH_DISBURSE_CURR,INSERT_CASH_DISBURSE_CURR,SQL_TRIGGER,NO,NO,INSERT
CASH_DISBURSE_CURR,UPDATE_CASH_DISBURSE_CURR,SQL_TRIGGER,NO,NO,UPDATE
CASH_DISBURSE_DIST,INSERT_CASH_DISBURSE_DIST,SQL_TRIGGER,NO,NO,INSERT
CASH_DISBURSE_DIST,UPDATE_CASH_DISBURSE_DIST,SQL_TRIGGER,NO,NO,UPDATE
CASH_DISBURSE_LINE,DELETE_CASH_DISBURSE_LINE,SQL_TRIGGER,NO,NO,DELETE
CASH_DISBURSE_LINE,INSERT_CASH_DISBURSE_LINE,SQL_TRIGGER,NO,NO,INSERT
CASH_DISBURSE_LINE,UPDATE_CASH_DISBURSE_LINE,SQL_TRIGGER,NO,NO,UPDATE
CASH_DISBURSEMENT,UPDATE_CASH_DISBURSEMENT,SQL_TRIGGER,NO,NO,UPDATE
CASH_PLAN,UPDATE_CASH_PLAN,SQL_TRIGGER,NO,NO,UPDATE
CASH_PLAN_LINE,DELETE_CASH_PLAN_LINE,SQL_TRIGGER,NO,NO,DELETE
CASH_PLAN_LINE,UPDATE_CASH_PLAN_LINE,SQL_TRIGGER,NO,NO,UPDATE
CASH_RECEIPT,DELETE_CASH_RECEIPT,SQL_TRIGGER,NO,NO,DELETE
CASH_RECEIPT,INSERT_CASH_RECEIPT,SQL_TRIGGER,NO,NO,INSERT
CASH_RECEIPT,UPDATE_CASH_RECEIPT,SQL_TRIGGER,NO,NO,UPDATE
CASH_RECEIPT_CURR,DELETE_CASH_RECEIPT_CURR,SQL_TRIGGER,NO,NO,DELETE
CASH_RECEIPT_CURR,INSERT_CASH_RECEIPT_CURR,SQL_TRIGGER,NO,NO,INSERT
CASH_RECEIPT_CURR,UPDATE_CASH_RECEIPT_CURR,SQL_TRIGGER,NO,NO,UPDATE
CASH_RECEIPT_DIST,INSERT_CASH_RECEIPT_DIST,SQL_TRIGGER,NO,NO,INSERT
CASH_RECEIPT_DIST,UPDATE_CASH_RECEIPT_DIST,SQL_TRIGGER,NO,NO,UPDATE
CASH_RECEIPT_LINE,DELETE_CASH_RECEIPT_LINE,SQL_TRIGGER,NO,NO,DELETE
CASH_RECEIPT_LINE,INSERT_CASH_RECEIPT_LINE,SQL_TRIGGER,NO,NO,INSERT
CASH_RECEIPT_LINE,UPDATE_CASH_RECEIPT_LINE,SQL_TRIGGER,NO,NO,UPDATE
CO_PRODUCT,DELETE_CO_PRODUCT,SQL_TRIGGER,NO,NO,DELETE
CO_PRODUCT,INSERT_CO_PRODUCT,SQL_TRIGGER,NO,NO,INSERT
CO_PRODUCT,UPDATE_CO_PRODUCT,SQL_TRIGGER,NO,NO,UPDATE
CONSOLID_ACCOUNT,UPDATE_CONSOLID_ACCOUNT,SQL_TRIGGER,NO,NO,UPDATE
CONTACT,UPDATE_CONTACT,SQL_TRIGGER,NO,NO,UPDATE
CONTACT,V_AD_CONTACT,SQL_TRIGGER,NO,NO,DELETE
CONTACT,V_AI_CONTACT,SQL_TRIGGER,NO,NO,INSERT
CONTACT,V_AU_CONTACT,SQL_TRIGGER,NO,NO,UPDATE
CREDIT_MEMO_APPLY,DELETE_CREDIT_MEMO_APPLY,SQL_TRIGGER,NO,NO,DELETE
CREDIT_MEMO_APPLY,INSERT_CREDIT_MEMO_APPLY,SQL_TRIGGER,NO,NO,INSERT
CREDIT_MEMO_APPLY,UPDATE_CREDIT_MEMO_APPLY,SQL_TRIGGER,NO,NO,UPDATE
