TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,KEY_ORDINAL
BOL_LINE,X_BOL_LINE_0,BOL_ID,1
BOL_LINE,X_BOL_LINE_0,NMFC_CODE_ID,2
BOL_LINE,X_BOL_LINE_0,PACKAGE_TYPE,3
CALENDAR_CHANGE,X_CALENDAR_CHG_0,SITE_ID,1
CALENDAR_CHANGE,X_CALENDAR_CHG_0,SCHEDULE_ID,2
CALENDAR_CHANGE,X_CALENDAR_CHG_0,RESOURCE_ID,3
CALENDAR_CHANGE,X_CALENDAR_CHG_0,START_DATE,4
CALENDAR_WEEK,X_CALENDAR_WEEK_0,SITE_ID,1
CALENDAR_WEEK,X_CALENDAR_WEEK_0,SCHEDULE_ID,2
CALENDAR_WEEK,X_CALENDAR_WEEK_0,RESOURCE_ID,3
CALENDAR_WEEK,X_CALENDAR_WEEK_0,DAY_OF_WEEK,4
CLYRPD,X_CLYRPD_1,YQDATE,1
CREDIT_MEMO_APPLY,X_CRED_MEMO_APP_2,INV_VOUCHER_ID,1
CREDIT_MEMO_APPLY,X_CRED_MEMO_APP_2,MEMO_VOUCHER_ID,2
CREDIT_MEMO_APPLY,X_CRED_MEMO_APP_2,apply_date,3
CREDIT_MEMO_APPLY,X_CRED_MEMO_APP_2,INST_NO,4
CUST_CONT_EML_DOC,X_CUST_CONT_EML_DOC_1,CUSTOMER_ID,1
CUST_CONT_EML_DOC,X_CUST_CONT_EML_DOC_1,CONTACT_NO,2
CUST_CONT_EML_DOC,X_CUST_CONT_EML_DOC_1,DOCUMENT_TYPE,3
CUST_CONT_EML_DOC,X_CUST_CONT_EML_DOC_1,SITE_ID,4
CUSTOMER_FORECAST,X_CUST_FORECAST_0,CUSTOMER_ID,1
CUSTOMER_FORECAST,X_CUST_FORECAST_0,FORECAST_ID,2
CUSTOMER_FORECAST,X_CUST_FORECAST_0,PART_ID,3
CUSTOMER_FORECAST,X_CUST_FORECAST_0,REQUIRED_DATE,4
CUSTOMER_FORECAST,X_CUST_FORECAST_0,WAREHOUSE_ID,5
CUSTOMER_FORECAST,X_CUST_FORECAST_0,SITE_ID,6
DBR_SETTINGS,X_DBRSETTINGS_1,SITE_ID,1
DBR_SETTINGS,X_DBRSETTINGS_1,RANK,2
DEMAND_FORECAST,X_DEMAND_FORECAST_0,PART_ID,1
DEMAND_FORECAST,X_DEMAND_FORECAST_0,REQUIRED_DATE,2
DEMAND_FORECAST,X_DEMAND_FORECAST_0,WAREHOUSE_ID,3
DEMAND_FORECAST,X_DEMAND_FORECAST_1,SITE_ID,1
DEMAND_FORECAST,X_DEMAND_FORECAST_1,PART_ID,2
DEMAND_FORECAST,X_DEMAND_FORECAST_1,REQUIRED_DATE,3
DEMAND_FORECAST,X_DEMAND_FORECAST_1,WAREHOUSE_ID,4
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_TYPE,1
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_BASE_ID,2
