Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0246	The type or namespace name 'LocalDbContext' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	35		
Error (active)	CS0103	The name 'InitializeComponent' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\App.xaml.cs	46		
Error (active)	CS0103	The name 'InitializeComponent' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	22		
Error (active)	CS0103	The name 'InitializeComponent' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\Views\Dashboard\DashboardPage.xaml.cs	25		
Error (active)	CS0103	The name 'InitializeComponent' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\Views\Login\LoginPage.xaml.cs	38		
Error (active)	CS0103	The name 'LoginFrame' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	30		
Error (active)	CS0103	The name 'LoginOverlay' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	39		
Error (active)	CS0103	The name 'NavDashboard' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	43		
Error (active)	CS0103	The name 'ShellFrame' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	44		
Error (active)	CS0103	The name 'ShellFrame' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	63		
Error (active)	CS0103	The name 'ShellFrame' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	65		
Error (active)	CS0103	The name 'ShellNav' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	40		
Error (active)	CS0103	The name 'ShellNav' does not exist in the current context	MTM_Waitlist_Application.WinUI	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\MTM_Waitlist_Application.WinUI\MainWindow.xaml.cs	43		
Error (active)	CS0246	The type or namespace name 'Core' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	3		
Error (active)	CS0246	The type or namespace name 'Core' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	4		
Error (active)	CS0246	The type or namespace name 'Core' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	5		
Error (active)	CS0246	The type or namespace name 'Core' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	6		
Error (active)	CS0246	The type or namespace name 'Data' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	7		
Error (active)	CS0246	The type or namespace name 'Data' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	8		
Error (active)	CS0246	The type or namespace name 'Data' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	9		
Error (active)	CS0246	The type or namespace name 'Feature' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	10		
Error (active)	CS0246	The type or namespace name 'Feature' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	11		
Error (active)	CS0246	The type or namespace name 'HttpApiClient' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	37		
Error (active)	CS0246	The type or namespace name 'IApiClient' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	37		
Error (active)	CS0246	The type or namespace name 'IRepository_WaitlistEntry' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	39		
Error (active)	CS0246	The type or namespace name 'IRepository_WaitlistEntryLocal' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	41		
Error (active)	CS0246	The type or namespace name 'IService_Auth' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	43		
Error (active)	CS0246	The type or namespace name 'IService_WaitlistEntry' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	45		
Error (active)	CS0246	The type or namespace name 'ISyncService' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	47		
Error (active)	CS0234	The type or namespace name 'MauiProgramExtensions' does not exist in the namespace 'MTM_Waitlist_Application' (are you missing an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	24		
Error (active)	CS0246	The type or namespace name 'Repository_WaitlistEntry' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	39		
Error (active)	CS0246	The type or namespace name 'Repository_WaitlistEntryLocal' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	41		
Error (active)	CS0246	The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	12		
Error (active)	CS0246	The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	13		
Error (active)	CS0246	The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	14		
Error (active)	CS0246	The type or namespace name 'Service_Auth' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	43		
Error (active)	CS0246	The type or namespace name 'Service_WaitlistEntry' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	45		
Error (active)	CS0246	The type or namespace name 'SyncService' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	47		
Error (active)	CS0246	The type or namespace name 'ViewModel_Dashboard_Main' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	49		
Error (active)	CS0246	The type or namespace name 'View_Dashboard_Main' could not be found (are you missing a using directive or an assembly reference?)	Shared.Tests	C:\Users\johnk\source\repos\MTM_Waitlist_Application\MTM_Waitlist_Application\Tests\Unit\Shared.Tests\Success\MauiProgramExtensionsTests.cs	51		
